YEAR,SAMPLE,SERIAL,CBSERIAL,NUMPREC,HHWT,HHTYPE,CLUSTER,CPI99,STATEFIP,COUNTYFIP,PUMA,STRATA,GQ,OWNERSHP,OWNERSHPD,RENT,COSTELEC,COSTGAS,HHINCOME,VALUEH,ROOMS,BUILTYR2,UNITSSTR,BEDROOMS,FUELHEAT,VEHICLES,PERNUM,PERWT,NCHILD,RELATE,RELATED,SEX,AGE,MARST,RACE,RACED,HISPAN,HISPAND,BPL,BPLD,CITIZEN,YRIMMIG,EDUC,EDUCD,DEGFIELD,DEGFIELDD,EMPSTAT,EMPSTATD,LABFORCE,OCC1990,CLASSWKR,CLASSWKRD,WKSWORK2,UHRSWORK,INCBUS00,INCEARN,SEI,MOVEDIN,QBPL,QINCWAGE
2017,201701,1063737,2017000557963,2,32,9,2017010637371,0.679,42,107,2600,260042,1,1,12,0,840,9993,80000,50000,6,1,3,4,5,2,2,34,0,11,1114,1,43,4,1,100,0,0,42,4200,0,0,6,63,0,0,2,20,2,844,2,22,5,50,0,50000,24,0,4,0
2017,201701,1029838,2017000428344,5,61,3,2017010298381,0.679,41,67,1323,132341,1,1,12,0,720,9993,82900,300000,4,7,3,4,4,3,2,53,0,3,301,2,16,6,1,100,0,0,18,1800,0,0,4,40,0,0,3,30,1,999,0,0,0,0,0,0,0,0,4,4
2017,201701,395197,2017001362953,2,32,3,2017003951971,0.679,13,0,1003,100313,1,1,12,0,720,480,27900,60000,4,3,3,4,4,1,1,33,1,1,101,2,45,4,1,100,0,0,522,52200,3,2014,7,71,0,0,1,10,2,276,2,22,3,37,0,27800,44,1,0,4
2017,201701,1215418,2017000726686,2,21,3,2017012154181,0.679,48,0,2200,220048,1,2,22,500,1320,1200,2000,9999999,5,2,3,3,2,1,2,23,0,3,301,2,12,6,1,100,3,300,12,1200,0,0,2,22,0,0,0,0,0,999,0,0,0,0,999999,0,0,0,0,0
2017,201701,1261067,2017001364209,5,37,1,2017012610671,0.679,48,339,4504,450448,1,1,13,0,600,360,183000,270000,7,12,3,5,2,2,3,34,0,3,301,2,5,6,1,100,0,0,22,2200,0,0,0,2,0,0,0,0,0,999,0,0,0,0,999999,0,0,0,0,0
2017,201701,1045820,2017000072538,3,31,1,2017010458201,0.679,42,49,102,10242,1,1,13,0,1080,1080,120400,300000,8,1,3,5,2,5,1,31,0,1,101,1,49,1,1,100,0,0,42,4200,0,0,10,101,62,6201,1,10,2,23,2,22,6,45,0,77000,78,5,0,0
2017,201701,1308065,2017000868513,4,79,1,2017013080651,0.679,51,0,51097,5109751,1,1,13,0,1200,840,61030,87000,6,7,3,5,2,2,2,80,2,2,201,1,40,1,1,100,0,0,37,3700,0,0,10,101,62,6203,1,10,2,364,2,22,6,40,0,26000,22,0,0,0
2017,201701,129157,2017000632774,3,70,1,2017001291571,0.679,6,37,3739,373906,1,2,21,0,120,240,20800,9999999,6,7,3,4,2,2,3,81,1,5,501,2,87,5,4,400,0,0,500,50000,3,2017,5,50,0,0,3,30,1,999,0,0,0,0,0,0,0,0,0,0
2017,201701,771245,2017001116805,4,119,1,2017007712451,0.679,33,0,500,50033,1,1,13,0,1200,9993,120000,198000,9,1,3,4,5,2,3,136,0,3,301,1,10,6,1,100,0,0,33,3300,0,0,1,17,0,0,0,0,0,999,0,0,0,0,999999,0,0,0,0,0
2017,201701,112140,2017000455698,4,94,1,2017001121401,0.679,6,107,10703,1070306,1,1,13,0,720,9993,72000,600000,5,5,3,4,8,3,3,172,0,3,301,2,3,6,1,100,0,0,6,600,0,0,0,2,0,0,0,0,0,999,0,0,0,0,999999,0,0,0,0,0
2017,201701,1341053,2017000790019,3,16,3,2017013410531,0.679,53,33,11614,1161453,1,1,13,0,1440,1200,110400,320000,8,4,3,5,2,2,3,23,2,5,501,2,78,4,1,100,0,0,20,2000,0,0,3,30,0,0,3,30,1,999,0,0,0,0,0,0,0,0,0,0
2017,201701,1054519,2017000306335,2,145,7,2017010545191,0.679,42,0,500,50042,1,1,13,0,4320,480,81100,140000,6,14,3,4,4,1,1,146,0,1,101,2,63,3,1,100,0,0,36,3600,0,0,8,81,0,0,1,10,2,365,2,22,6,20,0,9000,44,4,0,0
2017,201701,1240209,2017001072066,3,78,1,2017012402091,0.679,48,367,2400,240048,1,1,13,0,4200,9993,101700,180000,7,9,3,5,4,3,3,113,0,3,301,1,18,6,1,100,0,0,48,4800,0,0,6,63,0,0,1,10,2,365,2,22,1,15,0,700,44,0,4,4
2017,201701,102695,2017000358611,2,72,9,2017001026951,0.679,6,13,1309,130906,1,1,13,0,1200,9992,402000,450000,4,5,4,3,2,3,2,73,0,11,1114,2,60,4,1,100,0,0,6,600,0,0,7,71,0,0,1,10,2,313,2,22,6,15,0,82000,61,0,0,0
2017,201701,401176,2017000255733,2,23,1,2017004011761,0.679,15,0,100,10015,1,2,22,1100,2640,9993,125000,9999999,3,3,3,2,1,2,2,43,0,2,201,1,33,1,6,600,0,0,515,51500,2,2017,6,63,0,0,1,10,2,159,1,14,6,40,60000,120000,52,0,0,0
2017,201701,298285,2017000540326,2,166,5,2017002982851,0.679,12,31,3106,310612,1,2,22,660,480,9993,40000,9999999,3,12,8,2,4,2,1,166,0,1,101,1,25,6,6,600,0,0,12,1200,0,0,6,63,0,0,1,10,2,759,2,22,6,40,0,30000,18,2,0,0
2017,201701,422702,2017000272552,2,43,1,2017004227021,0.679,17,31,3526,352617,1,1,13,0,1200,2520,30000,900000,5,4,3,4,2,1,1,42,0,1,101,2,65,1,2,200,0,0,28,2800,0,0,6,63,0,0,3,30,1,447,2,22,0,0,0,0,13,7,4,0
2017,201701,738076,2017001380376,4,116,1,2017007380761,0.679,29,0,2603,260329,1,1,13,0,2400,9993,158000,215000,7,16,3,5,4,4,1,115,2,1,101,1,43,1,1,100,0,0,29,2900,0,0,10,101,62,6203,1,10,2,229,2,22,6,40,0,70000,65,4,0,0
2017,201701,103814,2017000369925,2,79,3,2017001038141,0.679,6,59,5909,590906,1,2,22,1600,960,9993,45000,9999999,4,6,8,3,4,2,2,111,0,3,301,1,20,2,1,100,0,0,6,600,0,0,6,63,0,0,3,30,1,999,0,0,0,0,0,0,0,0,4,4
